วันหยุดราชการ,วัน,วันที่,เดือน,,,
วันขึ้นปีใหม่,1-ม.ค.-68,1,มกราคม,,,
วันมาฆบูชา,12-ก.พ.-68,12,กุมภาพันธ์,,,
วันจักรี,6-เม.ย.-68,6,เมษายน,,,
วันหยุดชดเชยวันจักรี,7-เม.ย.-68,7,เมษายน,,,
วันสงกรานต์,13-เม.ย.-68,13,เมษายน,,,
วันสงกรานต์,14-เม.ย.-68,14,เมษายน,,,
วันสงกรานต์,15-เม.ย.-68,15,เมษายน,,,
วันหยุดชดเชยสงกรานต์,16-เม.ย.-68,16,เมษายน,,,
วันแรงงาน (เอกชน),1-พ.ค.-68,1,พฤษภาคม,,,
วันฉัตรมงคล,4-พ.ค.-68,4,พฤษภาคม,,,
วันหยุดชดเชยฉัตรมงคล,5-พ.ค.-68,5,พฤษภาคม,,,
วันพืชมงคล (ราชการ),9-พ.ค.-68,9,พฤษภาคม,,,
วันวิสาขบูชา,11-พ.ค.-68,11,พฤษภาคม,,,
วันหยุดชดเชยวิสาขบูชา,12-พ.ค.-68,12,พฤษภาคม,,,
วันหยุดพิเศษ (ครม.),2-มิ.ย.-68,2,มิถุนายน,,,
วันเฉลิมฯ พระบรมราชินี,3-มิ.ย.-68,3,มิถุนายน,,,
วันอาสาฬหบูชา,10-ก.ค.-68,10,กรกฎาคม,,,
วันเข้าพรรษา (ราชการ),11-ก.ค.-68,11,กรกฎาคม,,,
วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว,28-ก.ค.-68,28,กรกฎาคม,,,
วันหยุดพิเศษ (ครม.),11-ส.ค.-68,11,สิงหาคม,,,
วันแม่,12-ส.ค.-68,12,สิงหาคม,,,
วันนวมินทรมหาราช,13-ต.ค.-68,13,ตุลาคม,,,
วันปิยมหาราช,23-ต.ค.-68,23,ตุลาคม,,,
วันพ่อ,5-ธ.ค.-68,5,ธันวาคม,,,
วันรัฐธรรมนูญ,10-ธ.ค.-68,10,ธันวาคม,,,
วันสิ้นปี,31-ธ.ค.-68,31,ธันวาคม,,,
